year,month,decimal_date,average,deseasonalized,ndays,sdev,unc
2020,1,2020.0417,413.59,413.22,29,0.73,0.26
2020,2,2020.1250,414.32,413.40,28,0.69,0.25
2020,3,2020.2083,414.72,413.35,26,0.32,0.12
2020,4,2020.2917,416.42,413.92,28,0.65,0.24
2020,5,2020.3750,417.28,413.98,27,0.61,0.23
2020,6,2020.4583,416.58,414.15,27,0.44,0.16
2020,7,2020.5417,414.58,414.19,30,0.57,0.20
2020,8,2020.6250,412.76,414.60,25,0.25,0.10
2020,9,2020.7083,411.50,414.90,29,0.31,0.11
2020,10,2020.7917,411.49,414.79,30,0.22,0.08
2020,11,2020.8750,413.10,415.11,27,0.81,0.30
2020,12,2020.9583,414.23,414.91,30,0.48,0.17
2021,1,2021.0417,415.49,415.18,29,0.44,0.16
2021,2,2021.1250,416.72,415.76,28,1.02,0.37
2021,3,2021.2083,417.61,416.14,28,0.86,0.31
2021,4,2021.2917,419.01,416.48,24,1.12,0.44
2021,5,2021.3750,419.09,415.80,28,0.90,0.32
2021,6,2021.4583,418.93,416.46,29,0.65,0.23
2021,7,2021.5417,416.90,416.45,31,0.71,0.24
2021,8,2021.6250,414.42,416.32,25,0.74,0.28
2021,9,2021.7083,413.26,416.76,27,0.29,0.11
2021,10,2021.7917,413.90,417.22,29,0.35,0.12
2021,11,2021.8750,414.97,416.99,30,0.36,0.13
2021,12,2021.9583,416.67,417.41,28,0.48,0.17
2022,1,2022.0417,418.13,417.81,30,0.72,0.25
2022,2,2022.1250,419.24,418.28,27,0.92,0.34
2022,3,2022.2083,418.76,417.29,30,0.78,0.27
2022,4,2022.2917,420.19,417.65,28,0.86,0.31
2022,5,2022.3750,420.97,417.68,31,0.75,0.26
2022,6,2022.4583,420.94,418.47,28,0.30,0.11
2022,7,2022.5417,418.85,418.41,27,0.57,0.21
2022,8,2022.6250,417.15,419.05,27,0.37,0.13
2022,9,2022.7083,415.91,419.41,28,0.41,0.15
2022,10,2022.7917,415.74,419.06,30,0.27,0.10
2022,11,2022.8750,417.47,419.49,25,0.52,0.20
2022,12,2022.9583,418.99,419.74,24,0.57,0.22
2023,1,2023.0417,419.47,419.16,31,0.40,0.14
2023,2,2023.1250,420.31,419.35,23,0.70,0.28
2023,3,2023.2083,420.99,419.52,30,0.74,0.26
2023,4,2023.2917,423.31,420.77,27,0.56,0.21
2023,5,2023.3750,424.00,420.72,31,0.70,0.24
2023,6,2023.4583,423.68,421.21,29,0.57,0.20
2023,7,2023.5417,421.83,421.38,21,0.48,0.20
2023,8,2023.6250,419.68,421.59,21,0.45,0.19
2023,9,2023.7083,418.50,422.00,18,0.30,0.14
2023,10,2023.7917,418.82,422.14,27,0.47,0.17
2023,11,2023.8750,420.46,422.48,21,0.91,0.38
2023,12,2023.9583,421.86,422.60,20,0.69,0.29
2024,1,2024.0417,422.80,422.49,27,0.70,0.26
2024,2,2024.1250,424.55,423.60,22,1.24,0.51
2024,3,2024.2083,425.38,423.92,22,0.99,0.40
2024,4,2024.2917,426.57,424.03,24,0.98,0.38
2024,5,2024.3750,426.90,423.61,29,0.76,0.27
2024,6,2024.4583,426.91,424.44,20,0.65,0.28
2024,7,2024.5417,425.55,425.10,24,0.69,0.27
